"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"tupi1273",0.551020408163265,1.68141432845464,"tpn",0.4375,1.62336694272948,FALSE,NA,18085.6870048889,0,0,0
"turk1303",0.392156862745098,0.551952786744673,"klj",0.22,-1.05069466739767,FALSE,42100,495.021259780973,0,0,0
"turk1304",0.436363636363636,0.866246733501245,"tuk",0.274509803921569,-0.380521913180544,FALSE,6930920,221763.621713738,0,0,0
"tusc1257",0.450980392156863,0.970166506219144,"tus",0.522727272727273,2.67119672726206,FALSE,9,354.770534416661,0,0,0
"tutu1241",0.188679245283019,-0.89469844414186,"tmi",0.244897959183673,-0.744585808438711,TRUE,500,31.0459917914122,569961.338364069,569961.338364069,1795687.39942717
"tuva1244",0.150943396226415,-1.16298649059718,"tvl",0.32,0.178758946453892,TRUE,10700,5.59715113136917,1980448.96519006,1980448.96519006,3304165.95798383
"tuvi1240",0.388888888888889,0.528718691218314,"tyv",0.227272727272727,-0.961279859117558,FALSE,283400,61337.6703699715,0,0,0
"tuwa1243",0.418181818181818,0.73698067475459,"ifk",0.296296296296296,-0.11266709534796,FALSE,30000,453.130254829302,0,0,0
"tuwu1238",0.203703703703704,-0.78788005527539,"bov",0.294117647058824,-0.139452577131218,FALSE,11400,128.045025166382,0,0,0
"ubir1237",0.208333333333333,-0.754965086613047,"ubr",0.186046511627907,-1.46813705721704,FALSE,2560,99.21087320894,0,0,0
"ubyk1235",0.54,1.60306326835718,"uby",0.363636363636364,0.715247796134575,FALSE,0,59609.5042720353,0,0,0
"udih1248",0.418181818181818,0.73698067475459,"ude",0.425925925925926,1.48106907075592,FALSE,100,3804.29703138769,0,0,0
"udii1243",0.418604651162791,0.739986862167304,"udi",0.260869565217391,-0.548222320867032,FALSE,3800,55.3804251495749,0,0,0
"ugar1238",0.480769230769231,1.1819542231325,"uga",0.36734693877551,0.76086759627749,FALSE,NA,NA,0,0,0
"ughe1237",0.2,-0.814212030205264,"uge",0.211538461538462,-1.1547253578005,TRUE,1200,114.757733728737,661355.28256573,661355.28256573,1470571.46261235
"ukra1253",0.48936170212766,1.24304354303937,"ukr",0.294117647058824,-0.139452577131218,FALSE,32218400,598706.997786373,0,0,0
"ulch1241",0.415094339622642,0.715029834590064,"ulc",0.276595744680851,-0.354876239132744,FALSE,150,5169.69385161996,0,0,0
"ulit1238",0.240740740740741,-0.524560305976649,"uli",0.387755102040816,1.01177649706352,TRUE,3000,1.82234864681959,1281028.4579525,1281028.4579525,2284653.6642603
"ulwa1239",0.346938775510204,0.23046877109423,"ulw",0.361702127659574,0.691467262017523,FALSE,NA,NA,0,0,0
"umbu1257",0.52,1.46087060373586,"umb",0.318181818181818,0.156405244383864,FALSE,6000000,157771.044800776,0,0,0
"umbu1258",0.28,-0.245441371719984,"ubu",0.24,-0.804803944627359,FALSE,34200,980.072333401069,0,0,0
"umes1235",0.352941176470588,0.27314364042836,"sju",0.224489795918367,-0.995494709224744,FALSE,20,723.088476660196,0,0,0
"unua1237",0.2,-0.814212030205264,"onu",0.166666666666667,-1.70640326145184,TRUE,750,27.6229567285627,518849.552386225,518849.552386225,1792338.99515383
"uppe1275",0.54,1.60306326835718,"tku",0.448979591836735,1.76450319942162,FALSE,3400,94.3952911198139,0,0,0
"uppe1439",0.480769230769231,1.1819542231325,"cjh",0.361702127659574,0.691467262017523,FALSE,200,4184.22355408967,0,0,0
"urak1238",0.0816326530612245,-1.6557604534743,"urk",0.325581395348837,0.247379613273515,TRUE,NA,210.024479881395,1364.13591042552,1364.13591042552,1364.13591042552
"urar1246",0.307692307692308,-0.0485592207058485,"ura",0.3125,0.0865499254150249,FALSE,3000,5186.80350626959,0,0,0
"urav1235",0.34,0.181136622143976,"uur",0.333333333333333,0.342686094967434,TRUE,6,124.204669747502,413712.422890354,413712.422890354,1801446.33993902
"urim1252",0.188679245283019,-0.89469844414186,"uri",0.34,0.424649669224205,FALSE,3740,195.930642898194,0,0,0
"urip1239",0.185185185185185,-0.91953992992476,"upv",0.207547169811321,-1.20379643817919,TRUE,9000,67.8113582059741,518849.552386225,518849.552386225,1792338.99515383
"urni1239",0.276595744680851,-0.269644378464038,"urc",0.25,-0.681858583242202,FALSE,0,9818.52417640947,0,0,0
"uruu1244",0.306122448979592,-0.0597203403778517,"ure",0.227272727272727,-0.961279859117558,FALSE,2,180.172148587182,0,0,0
"utes1238",0.415094339622642,0.715029834590064,"ute",0.384615384615385,0.973175127711826,FALSE,920,8112.59906904399,0,0,0
"veps1250",0.37037037037037,0.397058816568943,"vep",0.245283018867925,-0.739851678235201,FALSE,3610,3235.40382025391,0,0,0
"vera1241",0.0909090909090909,-1.58980838268519,"vra",0.259259259259259,-0.568020285663354,FALSE,NA,NA,0,0,0
"viem1243",0.355555555555556,0.291730916849447,"vig",0.297872340425532,-0.0932903638451774,FALSE,8000,825.713735865604,0,0,0
"voti1245",0.354166666666667,0.281856426250744,"vot",0.16,-1.78836683570861,FALSE,68,47.5307779079303,0,0,0
"vunj1238",0.490196078431372,1.24897565253546,"vun",0.28,-0.313022499086733,FALSE,300000,778.483992371708,0,0,0
"vure1239",0.0727272727272727,-1.71907444143185,"msn",0.245283018867925,-0.739851678235201,TRUE,1100,35.4022932145745,773150.022598382,773150.022598382,1974943.48917567
"wage1238",0.264150943396226,-0.358122351231219,"waq",0.204081632653061,-1.24640361001078,FALSE,10,9448.75463582762,0,0,0
"waig1244",0.127272727272727,-1.33127626519188,"wgo",0.319148936170213,0.16829551144239,TRUE,300,1542.59417097297,46218.1870978455,46218.1870978455,1194175.11510025
"waim1251",0.4,0.607714616007936,"rro",0.264150943396226,-0.507879298263208,FALSE,15000,586.354456909001,0,0,0
"waiw1244",0.363636363636364,0.349182498514627,"waw",0.314814814814815,0.115009499809737,FALSE,2230,6028.69891164714,0,0,0
"wala1266",0.163265306122449,-1.07538223053014,"lgl",0.307692307692308,0.0274415785952384,TRUE,6980,64.9541136454791,986843.485627052,986843.485627052,1788741.37338826
"wall1257",0.145454545454545,-1.20201020644523,"wls",0.269230769230769,-0.445425195963056,FALSE,9620,602.615174561739,0,0,0
